ANO_OCORRENCIA;MES_OCORRENCIA;UF;MUNICIPIO;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;TIPO_OCORRENCIA;MAIS_1000_MIL_HAB;TOTAL;DATA
2025;1;AC;ACRELÂNDIA                         ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;36                                                ;Apreensão de Arma de Fogo;N;1;2025-01-01
2025;1;AC;CRUZEIRO DO SUL                    ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;28                                                ;Extravio/Perda de Arma de Fogo;N;1;2025-01-01
2025;1;AC;FEIJÓ                              ;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;28                                                ;Extravio/Perda de Arma de Fogo;N;1;2025-01-01
2025;1;AC;RIO BRANCO                         ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;36/.22LR (duplo cano)                             ;Extravio/Perda de Arma de Fogo;S;2;2025-01-01
2025;1;AC;RIO BRANCO                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Roubo de Arma de Fogo;S;1;2025-01-01
2025;1;AC;RIO BRANCO                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apostilada no Exercito;S;4;2025-01-01
2025;1;AL;ARAPIRACA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Furto de Arma de Fogo;S;1;2025-01-01
2025;1;AL;MACEIÓ                             ;Pistola                                           ;TALA (TALLERES DE ARMAS LIVIANAS ARGENTINAS)                          ;.22 LR                                            ;Furto de Arma de Fogo;S;1;2025-01-01
2025;1;AL;MACEIÓ                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Sub Judice;S;1;2025-01-01
2025;1;AL;MACEIÓ                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Recuperação de Arma de Fogo;S;1;2025-01-01
2025;1;AL;MACEIÓ                             ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Sub Judice;S;1;2025-01-01
2025;1;AL;MACEIÓ                             ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apostilada no Exercito;S;1;2025-01-01
2025;1;AL;MACEIÓ                             ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Roubo de Arma de Fogo;S;1;2025-01-01
2025;1;AL;MATRIZ DE CAMARAGIBE               ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo;N;1;2025-01-01
2025;1;AL;VIÇOSA                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Extravio/Perda de Arma de Fogo;N;1;2025-01-01
2025;1;AM;MANAUS                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Arrecadação;S;1;2025-01-01
2025;1;AM;MANAUS                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apostilada no Exercito;S;1;2025-01-01
2025;1;AM;MANAUS                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Roubo de Arma de Fogo;S;1;2025-01-01
2025;1;AM;MANAUS                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9x19mm                                            ;Furto de Arma de Fogo;S;1;2025-01-01
2025;1;AM;PRESIDENTE FIGUEIREDO              ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.32                                               ;Furto de Arma de Fogo;N;1;2025-01-01
2025;1;AM;PRESIDENTE FIGUEIREDO              ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Furto de Arma de Fogo;N;1;2025-01-01
2025;1;AM;TEFÉ                               ;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;16                                                ;Extravio/Perda de Arma de Fogo;N;1;2025-01-01
2025;1;AP;MACAPÁ                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo;S;1;2025-01-01
2025;1;AP;MACAPÁ                             ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Campanha do Desarmamento;S;1;2025-01-01
